ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,FullAddress,CensusTract_Fetched
HOME DELIVERED MEAL SERVICE CONTRACTS,33D01,STANLEY M ISAACS - HDM - MN08 11 (33D),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 East 93rd Street,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.780904,-73.945112,108.0,5.0,152.0,1082367.0,1015730001.0,Yorkville,POINT (-73.945112 40.780904),"415 East 93rd Street, NEW YORK, NY 10128",015200
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,6HS01,OHEL - GMH HUB & SPOKE DEMO (6HS),OHEL CHILDREN'S HOME AND FAMILY SERVICES INC,1268 East 14th Street,BROOKLYN,NY,11230,BROOKLYN,718-686-3222,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.618643,-73.961112,314.0,44.0,768.0,3180645.0,3067330035.0,Midwood,POINT (-73.961112 40.618643),"1268 East 14th Street, BROOKLYN, NY 11230",076800
OLDER ADULT CENTER CONTRACTS,C5803,RAIN BOSTON SECOR OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,3540 Bivona Street,BRONX,NY,10475,BRONX,718-671-8550,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.883026,-73.833227,212.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City,POINT (-73.833227 40.883026),"3540 Bivona Street, BRONX, NY 10475",046209
OLDER ADULT CENTER CONTRACTS,C8701,UNIVERSITY SETTLEMENT OAC (C87),UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 Allen Street,NEW YORK,NY,10002,MANHATTAN,212-453-4564,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.722133,-73.988964,103.0,1.0,3601.0,1005537.0,1004170001.0,Chinatown,POINT (-73.988964 40.722133),"189 Allen Street, NEW YORK, NY 10002",003601
HOME DELIVERED MEAL SERVICE CONTRACTS,27F01,BAY RIDGE - HDM - BK10 11 (27F),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.633477,-74.023321,310.0,43.0,130.0,3145772.0,3058730089.0,Bay Ridge,POINT (-74.023321 40.633477),"411 OVINGTON AVENUE, BROOKLYN, NY 11209",013000
ELDER ABUSE SERVICES CONTRACTS,1E302,NSHOPP - ELDER JUSTICE - BX (1E3),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite 401,BRONX,NY,10459,BRONX,718-542-0006,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.822052,-73.895879,202.0,17.0,87.0,2114693.0,2027037501.0,Longwood,POINT (-73.895879 40.822052),"975 Kelly Street Suite 401, BRONX, NY 10459",008700
OLDER ADULT CENTER CONTRACTS,W1201,BAY RIDGE CTR FOR LIFE LONG LEARNING (W12),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,15 Bay Ridge Avenue,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.638645,-74.035376,310.0,47.0,34.0,3144947.0,3058590060.0,Bay Ridge,POINT (-74.035376 40.638645),"15 Bay Ridge Avenue, BROOKLYN, NY 11209",003400
OLDER ADULT CENTER CONTRACTS,C1501,CANAAN SENIOR SERVICE CENTER (C15),CANAAN BAPTIST CHURCH OF CHRIST,1428 5th Avenue,NEW YORK,NY,10035,MANHATTAN,212-876-2638,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.80115,-73.946121,110.0,9.0,190.0,1051430.0,1016000021.0,Central Harlem South,POINT (-73.946121 40.80115),"1428 5th Avenue, NEW YORK, NY 10035",019000
OLDER ADULT CENTER CONTRACTS,C6902,SAGE CENTER HARLEM (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,220 West 143rd Street,NEW YORK,NY,10030,MANHATTAN,929-458-0170,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.8208,-73.94113,110.0,9.0,232.0,1086084.0,1020280016.0,Central Harlem North-Polo Grounds,POINT (-73.94113 40.8208),"220 West 143rd Street, NEW YORK, NY 10030",023200
HOME DELIVERED MEAL SERVICE CONTRACTS,2TY01,THE CAMPAIGN AGAINST HUNGER INC. (2TY),THE CAMPAIGN AGAINST HUNGER INC,2010 Fulton Street,BROOKLYN,NY,11233,BROOKLYN,718-773-3551,Y,,,,,,,,,,,,,,,40.678643,-73.917677,303.0,41.0,301.0,3042111.0,3015490016.0,Ocean Hill,POINT (-73.917677 40.678643),"2010 Fulton Street, BROOKLYN, NY 11233",030100
TRANSPORTATION SERVICES CONTRACTS,36702,NY FOUNDATION - TRAN GROUP RIDES - MN SOUTH (367),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,404 WEST   54 STREET,NEW YORK,NY,10019,MANHATTAN,212-962-7653,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.766197,-73.987636,104.0,3.0,133.0,1026769.0,1010630035.0,Clinton,POINT (-73.987636 40.766197),"404 WEST   54 STREET, NEW YORK, NY 10019",013300
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,JASA - GMH - BX (1G7),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1490 SOUTHERN BLVD FRNT,BRONX,NY,10460,BRONX,212-273-5200,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.833251,-73.890198,203.0,17.0,157.0,2010571.0,2029810014.0,Crotona Park East,POINT (-73.890198 40.833251),"1490 SOUTHERN BLVD FRNT, BRONX, NY 10460",015700
HOME DELIVERED MEAL SERVICE CONTRACTS,29F01,BAY RIDGE CENTER (29F),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,,,,,,,,,,,,,,,40.633477,-74.023321,310.0,47.0,130.0,3145772.0,3058730089.0,Bay Ridge,POINT (-74.023321 40.633477),"411 OVINGTON AVENUE, BROOKLYN, NY 11209",013000
OLDER ADULT CENTER CONTRACTS,C8502,UJCES LUNCH CLUB OAC (C85),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,15 Willett Street,NEW YORK,NY,10002,MANHATTAN,212-673-9328,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.71566,-73.982977,103.0,1.0,12.0,1088884.0,1003360005.0,Lower East Side,POINT (-73.982977 40.71566),"15 Willett Street, NEW YORK, NY 10002",002201
HOME DELIVERED MEAL SERVICE CONTRACTS,33E01,CHARLES A. WALBURG - HDM - MN09 10 12 (33E),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,163 West 125th Street 13th Floor,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.808644,-73.947524,110.0,9.0,222.0,1081602.0,1019100001.0,Central Harlem South,POINT (-73.947524 40.808644),"163 West 125th Street 13th Floor, NEW YORK, NY 10027",022200
OLDER ADULT CENTER CONTRACTS,W2405,CORSI OAC (W24),UNION SETTLEMENT ASSOCIATION,307 E 116th Street,NEW YORK,NY,10029,MANHATTAN,212-828-6756,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.796935,-73.93759,111.0,8.0,188.0,1079357.0,1016880045.0,East Harlem North,POINT (-73.93759 40.796935),"307 E 116th Street, NEW YORK, NY 10029",018800
HOME DELIVERED MEAL SERVICE CONTRACTS,42S01,CORONA HDM QN7 (42S),CORONA CONGREGATIONAL CHURCH,102-19 34th Avenue,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.755742,-73.865988,403.0,21.0,379.0,4042602.0,4017170033.0,North Corona,POINT (-73.865988 40.755742),"102-19 34th Avenue, FLUSHING, NY 11368",037900
OLDER ADULT CENTER CONTRACTS,C7801,STEIN OLDER ADULT CENTER (C78),STEIN SENIOR CENTER INC,204 East 23rd Street,NEW YORK,NY,10010,MANHATTAN,646-395-8083,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.738655,-73.982755,106.0,2.0,64.0,1019664.0,1009030056.0,Gramercy,POINT (-73.982755 40.738655),"204 East 23rd Street, NEW YORK, NY 10010",006400
HOME DELIVERED MEAL SERVICE CONTRACTS,46P01,PETER CARDELLA SENIOR CENTER (46P),PETER CARDELLA SENIOR CITIZEN CENTER INC,68-52 fresh pond road,FLUSHING,NY,11385,QUEENS,718-497-2908,Y,,,,,,,,,,,,,,,40.703874,-73.895674,405.0,30.0,583.0,4085200.0,4035350024.0,Ridgewood,POINT (-73.895674 40.703874),"68-52 fresh pond road, FLUSHING, NY 11385",058300
ELDER ABUSE SERVICES CONTRACTS,1E301,NSHOPP - ELDER JUSTICE - BX (1E3),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite 401,BRONX,NY,10459,BRONX,718-542-0006,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.822052,-73.895879,202.0,17.0,87.0,2114693.0,2027037501.0,Longwood,POINT (-73.895879 40.822052),"975 Kelly Street Suite 401, BRONX, NY 10459",008700
OLDER ADULT CENTER CONTRACTS,C3601,GODDARD RIVERSIDE LSNC OAC @ WEST 65TH ST (C36),GODDARD-RIVERSIDE COMMUNITY CENTER,250 West 65th Street,NEW YORK,NY,10023,MANHATTAN,212-874-0860,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.77501,-73.98689,107.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square,POINT (-73.98689 40.77501),"250 West 65th Street, NEW YORK, NY 10023",015101
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7301,VISION URBANA NORC (N73),VISION URBANA INC.,175 DELANCEY STREET,NEW YORK,NY,10002,MANHATTAN,646-626-9748,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.717466,-73.985004,103.0,1.0,1402.0,1089451.0,1003477501.0,Lower East Side,POINT (-73.985004 40.717466),"175 DELANCEY STREET, NEW YORK, NY 10002",001800
OLDER ADULT CENTER CONTRACTS,W1501,CENTER ON THE SQ (W15),GREENWICH HOUSE INC.,20 Washington Square North,NEW YORK,NY,10011,MANHATTAN,212-777-3555,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.731781,-73.997705,102.0,1.0,63.0,1008851.0,1005510008.0,West Village,POINT (-73.997705 40.731781),"20 Washington Square North, NEW YORK, NY 10011",006300
HOME DELIVERED MEAL SERVICE CONTRACTS,46G01,JASA QUEENS HOME DELIVERED MEALS (46G),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,212-273-5200,Y,,,,,,,,,,,,,,,40.593761,-73.753207,414.0,31.0,99802.0,4301622.0,4158100055.0,Far Rockaway-Bayswater,POINT (-73.753207 40.593761),"131 BEACH   19 STREET, FAR ROCKAWAY, NY 11691",099802
OLDER ADULT CENTER CONTRACTS,C3001,CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,150 East 121st Street,NEW YORK,NY,10035,MANHATTAN,212-722-2205,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.801704,-73.939037,111.0,8.0,196.0,1054378.0,1017690021.0,East Harlem North,POINT (-73.939037 40.801704),"150 East 121st Street, NEW YORK, NY 10035",019600
OLDER ADULT CENTER CONTRACTS,C5809,RAIN NEREID OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,720 Nereid Avenue,BRONX,NY,10466,BRONX,718-994-0132,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.898158,-73.853568,212.0,11.0,434.0,2069882.0,2050460033.0,Woodlawn-Wakefield,POINT (-73.853568 40.898158),"720 Nereid Avenue, BRONX, NY 10466",043400
OLDER ADULT CENTER CONTRACTS,W2403,JEFFERSON OAC (W24),UNION SETTLEMENT ASSOCIATION,2205 1st Avenue,NEW YORK,NY,10029,MANHATTAN,212-828-6104,Y,8:00,4:30,8:00,4:30,8:00,4:30,8:00,4:30,8:00,4:30,0:00,0:00,0:00,0:00,40.794319,-73.93665,111.0,8.0,180.0,1081091.0,1016840001.0,East Harlem North,POINT (-73.93665 40.794319),"2205 1st Avenue, NEW YORK, NY 10029",018000
OLDER ADULT CENTER CONTRACTS,C5804,RAIN EASTCHESTER LATIN SOUL CAFÉ OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,1246 Burke Avenue,BRONX,NY,10469,BRONX,718-882-8513,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.871144,-73.851046,211.0,12.0,348.0,2093500.0,2045810001.0,Allerton-Pelham Gardens,POINT (-73.851046 40.871144),"1246 Burke Avenue, BRONX, NY 10469",034800
OLDER ADULT CENTER CONTRACTS,4DV01,INDIA HOME INC. (4DV),INDIA HOME INC,178-36 Wexford Terrace,JAMAICA,NY,11432,QUEENS,917-288-7600,Y,,,,,,,,,,,,,,,40.713508,-73.784561,408.0,24.0,466.0,4534092.0,4099377501.0,Jamaica Estates-Holliswood,POINT (-73.784561 40.713508),"178-36 Wexford Terrace, JAMAICA, NY 11432",046600
HOME DELIVERED MEAL SERVICE CONTRACTS,33C01,ENCORE - HDM - MN04 05 07 (33C),ENCORE COMMUNITY SERVICES,239 West 49th Street,NEW YORK,NY,10019,MANHATTAN,212-581-3490,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.761143,-73.985312,105.0,3.0,125.0,1024789.0,1010210009.0,Midtown-Midtown South,POINT (-73.985312 40.761143),"239 West 49th Street, NEW YORK, NY 10019",012500
ELDER ABUSE SERVICES CONTRACTS,64701,WEILL MEDICAL - PROTECT MENTAL HEALTH - CITYWIDE (647),WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,21 BLOOMINGDALE RD,WHITE PLAINS,NY,10605,,914-997-4333,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,,,,,,,,,,"21 BLOOMINGDALE RD, WHITE PLAINS, NY 10605",009702
OLDER ADULT CENTER CONTRACTS,C0501,ARC XVI A. PHILIP RANDOLPH OAC (C05),ARC XVI FORT WASHINGTON INC,108 West 146 Street,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.821341,-73.936317,110.0,9.0,232.0,1060189.0,1020140036.0,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341),"108 West 146 Street, NEW YORK, NY 10039",023200
OLDER ADULT CENTER CONTRACTS,W1502,OUR LADY OF POMPEII (W15),GREENWICH HOUSE INC.,25 Carmine Street,NEW YORK,NY,10014,MANHATTAN,212-989-3620,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.730178,-74.002955,102.0,3.0,67.0,1009904.0,1005860020.0,West Village,POINT (-74.002955 40.730178),"25 Carmine Street, NEW YORK, NY 10014",006700
TRANSPORTATION SERVICES CONTRACTS,44601,HANAC - TRAN INDIVIDUAL RIDES - QN WEST (446),HANAC INC.,27-40 Hoyt Avenue South,LONG ISLAND CITY,NY,11102,QUEENS,212-840-8005,Y,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,6:00,0:00,0:00,0:00,0:00,0:00,40.771857,-73.9198,401.0,22.0,69.0,4537921.0,4008390001.0,Old Astoria,POINT (-73.9198 40.771857),"27-40 Hoyt Avenue South, LONG ISLAND CITY, NY 11102",006900
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,SPOP - GMH - MN 9-12 (3G1),SERVICE PROGRAM FOR OLDER PEOPLE INC,302 WEST   91 STREET,NEW YORK,NY,10024,MANHATTAN,212-787-7120,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.792171,-73.975796,107.0,6.0,179.0,1034085.0,1012510022.0,Upper West Side,POINT (-73.975796 40.792171),"302 WEST   91 STREET, NEW YORK, NY 10024",017900
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,2G801,OHEL - GMH - BK 1 2 3 4 6 8 9 16 17 (2G8),OHEL CHILDREN'S HOME AND FAMILY SERVICES INC,1268 EAST   14 STREET,BROOKLYN,NY,11230,BROOKLYN,718-686-3222,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.618643,-73.961112,314.0,44.0,768.0,3180645.0,3067330035.0,Midwood,POINT (-73.961112 40.618643),"1268 EAST   14 STREET, BROOKLYN, NY 11230",076800
TRANSPORTATION SERVICES CONTRACTS,19601,RAIN EASTCHESTER - TRAN INDIVIDUAL RIDES - BX NORTH (196),REGIONAL AID FOR INTERIM NEEDS INC,1246 Burke Avenue,BRONX,NY,10469,BRONX,718-882-8513,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.871144,-73.851046,211.0,12.0,348.0,2093501.0,2045810001.0,Allerton-Pelham Gardens,POINT (-73.851046 40.871144),"1246 Burke Avenue, BRONX, NY 10469",034800
ELDER ABUSE SERVICES CONTRACTS,1E701,SUNNYSIDE - ELDER JUSTICE - QN NORTH (1E7),SUNNYSIDE COMMUNITY SERVICES INC,43-31 39th Street,LONG ISLAND CITY,NY,11104,QUEENS,718-784-6173,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.74519,-73.925909,402.0,26.0,179.0,4436677.0,4001910005.0,Hunters Point-Sunnyside-West Maspeth,POINT (-73.925909 40.74519),"43-31 39th Street, LONG ISLAND CITY, NY 11104",017901
ELDER ABUSE SERVICES CONTRACTS,1E501,METRO NY - ELDER JUSTICE - BK SOUTH (1E5),METROPOLITAN NY COORDINATING COUNCIL ON JEWISH POVERTY D/B/A,77 Water Street,NEW YORK,NY,10005,MANHATTAN,212-453-9500,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704275,-74.008681,101.0,1.0,7.0,1000863.0,1000330001.0,Battery Park City-Lower Manhattan,POINT (-74.008681 40.704275),"77 Water Street, NEW YORK, NY 10005",000700
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,6G801,GREENWICH HOUSE GMH MN 1-8 (6G8),GREENWICH HOUSE INC.,122 WEST   27 STREET,NEW YORK,NY,10001,MANHATTAN,212-991-0003,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.745782,-73.991847,105.0,3.0,95.0,1015051.0,1008020056.0,Midtown-Midtown South,POINT (-73.991847 40.745782),"122 WEST   27 STREET, NEW YORK, NY 10001",009500
TRANSPORTATION SERVICES CONTRACTS,49901,CATHAY - TRAN INDIVIDUAL RIDES - QN EAST (499),Cathay Express Transportation,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11357,QUEENS,212-337-3333,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.770483,-73.835639,407.0,19.0,907.0,4540190.0,4043630100.0,College Point,POINT (-73.835639 40.770483),"30-50 WHITESTONE EXPRESSWAY, FLUSHING, NY 11357",None
TRANSPORTATION SERVICES CONTRACTS,49902,CATHAY - TRAN GROUP RIDES - QN EAST (499),Cathay Express Transportation,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11357,QUEENS,212-337-3333,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.770483,-73.835639,407.0,19.0,907.0,4540190.0,4043630100.0,College Point,POINT (-73.835639 40.770483),"30-50 WHITESTONE EXPRESSWAY, FLUSHING, NY 11357",None
OLDER ADULT CENTER CONTRACTS,W1605,JAMES MONROE (W16),INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1780 Story Avenue,BRONX,NY,10473,BRONX,718-893-3484,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.823265,-73.865779,209.0,18.0,42.0,2092748.0,2036370001.0,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.865779 40.823265),"1780 Story Avenue, BRONX, NY 10473",004200
LEGAL SERVICES CONTRACTS,32V01,MFJ - LEGAL SERVICES - MN (32V),MOBILIZATION FOR JUSTICE INC,100 William Street 6th Fl,NEW YORK,NY,10038,MANHATTAN,212-417-3700,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.708497,-74.007477,101.0,1.0,1502.0,1001116.0,1000680036.0,Battery Park City-Lower Manhattan,POINT (-74.007477 40.708497),"100 William Street 6th Fl, NEW YORK, NY 10038",None
HOME DELIVERED MEAL SERVICE CONTRACTS,11S01,EAST SIDE HOUSE - HDM - BX1-6 (11S),EAST SIDE HOUSE INC,805 E. 139TH STREET,BRONX,NY,10454,BRONX,718-665-5250,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.804413,-73.909661,201.0,17.0,19.0,2004017.0,2025910037.0,Mott Haven-Port Morris,POINT (-73.909661 40.804413),"805 E. 139TH STREET, BRONX, NY 10454",001903
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6502,STANLEY M. ISAACS NEIGHBORHOOD CENTER-TAFT NORC (N65),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 EAST   93 STREET,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.780904,-73.945112,108.0,5.0,152.0,1082367.0,1015730001.0,Yorkville,POINT (-73.945112 40.780904),"415 EAST   93 STREET, NEW YORK, NY 10128",015200
TRANSPORTATION SERVICES CONTRACTS,24602,JCCGCI - TRAN GROUP RIDES - BK (246),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 WEST 37 STREET,BROOKLYN,NY,11224,BROOKLYN,718-449-5000,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.573177,-74.002509,313.0,47.0,340.0,3189617.0,3070650001.0,Seagate-Coney Island,POINT (-74.002509 40.573177),"3001 WEST 37 STREET, BROOKLYN, NY 11224",034000
HOMECARE SERVICES CONTRACTS,4HR01,PEOPLE CARE HOME CARE QN (4HR),PEOPLE CARE INCORPORATED,1649 61St Street,BROOKLYN,NY,11204,BROOKLYN,212-631-7384,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.623549,-73.991333,312.0,44.0,242.0,3132079.0,3055170065.0,Borough Park,POINT (-73.991333 40.623549),"1649 61St Street, BROOKLYN, NY 11204",024200
CITY MEALS ADMINISTRATIVE SERVICES CONTRACTS,CM601,CMOW HDM CITYWIDE (CM6),CITYMEALS-ON-WHEELS,355 Lexington Ave Fl 3,NEW YORK,NY,10017,MANHATTAN,212-687-1234,Y,9:00,0:00,9:00,0:00,9:00,0:00,9:00,0:00,9:00,0:00,0:00,0:00,0:00,0:00,40.750245,-73.976909,106.0,4.0,80.0,1036147.0,1012950023.0,Murray Hill-Kips Bay,POINT (-73.976909 40.750245),"355 Lexington Ave Fl 3, NEW YORK, NY 10017",008000
ELDER ABUSE SERVICES CONTRACTS,1E402,JASA - ELDER JUSTICE - QN SOUTH (1E4),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,212-273-5200,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.593761,-73.753207,414.0,31.0,99802.0,4301622.0,4158100055.0,Far Rockaway-Bayswater,POINT (-73.753207 40.593761),"131 BEACH   19 STREET, FAR ROCKAWAY, NY 11691",099802
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,WEILL MEDICAL GMH BK 5 7 10 11 12 13 14 15 18; SI (5G3),WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,21 BLOOMINGDALE RD,WHITE PLAINS,NY,10605,,646-962-8290,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,,,,,,,,,,"21 BLOOMINGDALE RD, WHITE PLAINS, NY 10605",009702
OLDER ADULT CENTER CONTRACTS,CC201,JAMAICA OLDER ADULT CENTER (CC2),QUEENS COMMUNITY HOUSE INC.,89-60 164th Street,JAMAICA,NY,11432,QUEENS,718-592-5757,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.707053,-73.796924,412.0,24.0,44601.0,4209585.0,4097930086.0,Jamaica,POINT (-73.796924 40.707053),"89-60 164th Street, JAMAICA, NY 11432",044601
TRANSPORTATION SERVICES CONTRACTS,44602,HANAC - TRAN GROUP RIDES - QN WEST (446),HANAC INC.,27-40 Hoyt Avenue South,LONG ISLAND CITY,NY,11102,QUEENS,212-840-8005,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.771857,-73.9198,401.0,22.0,69.0,4537921.0,4008390001.0,Old Astoria,POINT (-73.9198 40.771857),"27-40 Hoyt Avenue South, LONG ISLAND CITY, NY 11102",006900
